date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:26:44	36010/36010	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-chartjs.html	colorlib.com/polygon/elaadmin/chart-chartjs.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:44	34296/34296	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-chartist.html	colorlib.com/polygon/elaadmin/chart-chartist.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:44	32810/32810	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-amchart.html	colorlib.com/polygon/elaadmin/chart-amchart.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:45	35322/35322	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-echart.html	colorlib.com/polygon/elaadmin/chart-echart.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:45	40860/40860	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-sparkline.html	colorlib.com/polygon/elaadmin/chart-sparkline.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:45	43575/43575	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:12%20GMT	https://colorlib.com/polygon/elaadmin/chart-peity.html	colorlib.com/polygon/elaadmin/chart-peity.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:45	36307/36307	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:13%20GMT	https://colorlib.com/polygon/elaadmin/ui-alert.html	colorlib.com/polygon/elaadmin/ui-alert.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:46	52347/52347	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:13%20GMT	https://colorlib.com/polygon/elaadmin/ui-button.html	colorlib.com/polygon/elaadmin/ui-button.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:46	40579/40579	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:13%20GMT	https://colorlib.com/polygon/elaadmin/ui-dropdown.html	colorlib.com/polygon/elaadmin/ui-dropdown.html	(from https://colorlib.com/polygon/elaadmin/)
04:26:46	48310/48310	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Mar%202018%2013:26:13%20GMT	https://colorlib.com/polygon/elaadmin/ui-progressbar.html	colorlib.com/polygon/elaadmin/ui-progressbar.html	(from https://colorlib.com/polygon/elaadmin/)
